title,Unnamed: 1,emotion
Ukraine: Angry Zelensky vows to punish Russian atrocities,,anger
War in Ukraine: Taking cover in a town under attack,,neutral
Ukraine war 'catastrophic for global food',,neutral
Manchester Arena bombing: Saffie Roussos's parents on hearing the truth,,neutral
Ukraine conflict: Oil price soars to highest level since 2008,,neutral
Ukraine war: PM to hold talks with world leaders on further sanctions,,neutral
Ukraine war: UK grants 50 Ukrainian refugee visas so far,,neutral
TikTok limits services as Netflix pulls out of Russia,,neutral
"Covid: Fourth jab for Scotland's vulnerable, and testing wind down fears in Wales",,neutral
Protests across Russia see thousands detained,,neutral
Ukraine conflict: Your guide to understanding day 11,,neutral
Russian gymnast investigated for wearing pro-war symbol on podium next to Ukrainian,,neutral
"Ukraine: With placards and tears, Poles are greeting refugees like family",,neutral
Twitter is part of our war effort - Ukraine minister,,neutral
Ukraine invasion: Volunteers 'working on autopilot',,neutral
Ukraine crisis: The West fights back against Putin the disruptor,,neutral
"Mariupol: Fires, no water, and bodies in the street",,neutral
The young Ukrainians battling pro-Russian trolls,,neutral
Ukraine maps: New agreed ceasefire breaks down in south,,neutral
Five ways the Ukraine war could push up prices,,neutral
Ukraine: 'We try to tell them the truth' - parenting in wartime,,neutral
War in Ukraine: Russian helicopter shot down by missile,,sadness
European peace seems as fragile as ever,,neutral
"War in Ukraine: Russians on boycotts, sanctions and cancellations",,neutral
"Ukraine war: 'My city's being shelled, but mum won’t believe me'",,neutral
Nuclear plant: How close was nuclear plant attack to catastrophe?,,curiosity
Ukraine war: Why Kherson and Mariupol are key to Russian success,,neutral
The Papers: 'Running for their lives' as terror 'rains down',,fear
Ukraine invasion: Military couple marry on the frontline,,neutral
Ukraine invasion: The children with cancer fleeing war at home,,neutral
'They thought he was too young for heart disease',,neutral
Zeebrugge: 'You had to cling on for your dear life',,neutral
Belfast: The sounds of the city during Covid lockdowns,,neutral
Mandibuloacral dysplasia: 'You feel guilty not wanting her to get older',,remorse
Man in dinghy in near miss with Southampton-bound container ship,,neutral
Why doesn't Ukraine attack the Russian convoy? And other questions,,curiosity
The sophisticated tech predicting if an advert will work,,neutral
